name,unreleased_playlists_count,followers,popularity,genres,id,spotify_url,images,unreleased_playlists_ids
XXXTENTACION,36,46807146,88,"['emo rap', 'miami hip hop', 'rap']",15UsOTVnJzReFVN1VCnxy4,https://open.spotify.com/artist/15UsOTVnJzReFVN1VCnxy4,"['https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4', 'https://i.scdn.co/image/ab67616100005174f0c20db5ef6c6fbe5135d2e4', 'https://i.scdn.co/image/ab6761610000f178f0c20db5ef6c6fbe5135d2e4']","['4sEZUPi9YUIQbOM7Z78lbp', '2ajuyCgGRpPydbAWmZKQwE', '4qUtKyDJz5Z5zYxSpzBrcK', '53wTHzuHmg1BneShmcslAa', '6Cr6Arn8Cu95VNiKFBoSHU', '360R1D6Kq1yNCzBawbSrbu', '1PgMZ2uxA6f9S6uLOnoTnW', '4hUL5rRc1XtMjSJ5u30sYf', '6T4dCBYupj5f7KxFycFls9', '0dxzqzBjP9m5zRcklwIzmJ', '7FEcinFOnc46R16pXqbRzh', '3Klv4tJA5mC1GrtOS5Yumy', '3atODGnBdzKgiN62wPjvII', '2Jzr16Zulb1RXeNyDwjJAU', '66hLD19lOejg4Gff72xhfa', '4aonbPBVs5toL16LSFwqVj', '2f0HegqqoUGLytWxYLL2Jh', '0hCiQhpKJSNbzTU6nzjGBC', '49c4IgVCgskRxF5Vec7YQt', '0yqbdlrKVORzlFj3QC7JQv', '7uPCTytlrGDYlLQIaptwF6', '28qdihegDoi6zBbPCjkPtf', '5pam6o83YZAgaTrB5RrOHd', '1J77lRx9zF4Y0E31sZ6UGt', '6Xac6ABVGBfR3YDZWS4EEo', '4tQViESH2CnACc7jBDNFDI', '3zg3yTSEymHRa536TFhWpb', '4iZxUwrLvJMb0GAWNlrCZ8', '1spI7qsDP1kk9Y8fdjuFoI', '1RdjnpmZvPsOW8zbfTrY9P', '6gbluIy5cbbGBBNtA7r7VP', '02SEDCxFYNu7L4sX14zTMy', '3O6HS7MgGiYhXfSf1qoSVY', '6lfkV60Z9H6SskUQSQdfil', '0SgtZqhsJJuPyG8CN1BdUd', '5JNhHOtuS89lQyQcX3JsJC']"
Post Malone,3,45443323,92,"['dfw rap', 'melodic rap', 'pop', 'rap']",246dkjvS1zLTtiykXe5h60,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,"['https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0', 'https://i.scdn.co/image/ab67616100005174e17c0aa1714a03d62b5ce4e0', 'https://i.scdn.co/image/ab6761610000f178e17c0aa1714a03d62b5ce4e0']","['2FxkziCMsoO1fP1KZMHpRJ', '2Gz27V2tdZmyDYAUiROfio', '4neZQ7jav5HgkL9KDcl8d6']"
Dua Lipa,3,44738611,88,"['dance pop', 'pop', 'uk pop']",6M2wZ9GZgrQXHCFfjv46we,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,"['https://i.scdn.co/image/ab6761610000e5eb0c68f6c95232e716f0abee8d', 'https://i.scdn.co/image/ab676161000051740c68f6c95232e716f0abee8d', 'https://i.scdn.co/image/ab6761610000f1780c68f6c95232e716f0abee8d']","['0zn5QnUOlp1V9txLoEj3Nx', '1zYeq6SEjqEF63US1c9qGw', '2DuErOkQtSHBtKYGcRK2ad']"
Shawn Mendes,2,43309665,84,"['canadian pop', 'pop', 'viral pop']",7n2wHs1TKAczGzO7Dd2rGr,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,"['https://i.scdn.co/image/ab6761610000e5ebd56712ef06c48938329731e1', 'https://i.scdn.co/image/ab67616100005174d56712ef06c48938329731e1', 'https://i.scdn.co/image/ab6761610000f178d56712ef06c48938329731e1']","['0hIKOD1OKTjN5akLOnKVWT', '5UclRsd3AiqMP8uD06HS0V']"
Maroon 5,0,42721740,87,['pop'],04gDigrS5kc9YWfZHwBETP,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP,"['https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77', 'https://i.scdn.co/image/ab67616100005174f8349dfb619a7f842242de77', 'https://i.scdn.co/image/ab6761610000f178f8349dfb619a7f842242de77']",[]
Lana Del Rey,38,40138539,92,"['art pop', 'pop']",00FQb4jTyendYWaN8pK0wa,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,"['https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261', 'https://i.scdn.co/image/ab67616100005174b99cacf8acd5378206767261', 'https://i.scdn.co/image/ab6761610000f178b99cacf8acd5378206767261']","['0wAZQUW0SyfPo8ND6sml5B', '4oF6xRCHbxArw9oVPc3IBn', '0ezkEqepz43yo83uHleSdr', '39tao00tgCxo9cdOIs8v3W', '0p8jbBt35avdj0W2Tg8Opb', '3zqDjVOqhchGL5ga0OMsef', '6kTRB16nsBO9eOdaKmYOcR', '0sB3c3wh3rgsOl2FH68JsG', '4h8h2MhrK9pdmou5plHJhJ', '5MJqZIWSPMJap7YK6XxdWH', '23O01b3juFt3shqvHNgMZy', '6Utfcpt6Q7r9ZiG74qAog1', '1IZreOHL8epLpaQfmIiyLD', '66CEPRPjoagZx897ecvc1P', '1dYHHMxwl9fdnzY9fTC8II', '28MZtwGus5rYPvGWCzx8d1', '64Z5yGtW4lFPLhWuDPFlru', '7MZ0ZpiFqlWj36Is3dQGZW', '7nF24VpsSplbwPs0Zd59mQ', '5D9Z1azc4swoa2GU4OIJIv', '2qZzvk4ZMpGMenRgACix7A', '22x2EXKACt9eHk7wOsc68o', '5bA8h7oICtjvMY8CzIooCv', '4x6X79oUf1MTENghCR6lsn', '28Y7S8dTTc6MDzpI9JQ6c1', '0L5WGKqckaY2sPSsPvv0EK', '4MSjPks68nFKYIhMnNDlZ3', '0LetF2yAsIobhOyo8RwRYx', '6CFwl7QwjE78XzTm0kQHsH', '5ogsvufDl0CvJqzgviH6fz', '3QFl0ym74rbyhQx9z8cwhV', '4ZUrwh3rAMgvNzOhJ7qtrk', '48lagIneZcUyYrXNRvOOpU', '7rHljzq2LQZpf0ejOJHvGO', '2aaZC7fzvE8kkrhvyRYenJ', '7aY3xTMucJ1UUNYFLl59Qh', '1Qu0BbRuvKfvdeQGytlRfZ', '5wQezwnPAuxyOFV7WJVMQw']"
Olivia Rodrigo,12,40011804,88,['pop'],1McMsnEElThX1knmY4oliG,https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG,"['https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4', 'https://i.scdn.co/image/ab67616100005174e03a98785f3658f0b6461ec4', 'https://i.scdn.co/image/ab6761610000f178e03a98785f3658f0b6461ec4']","['2vSqX3QlD8c2hxE7YLVEDG', '5lLcCwiTgxPCwMcfq0uo82', '1Nf6ZMYFlAHcIGTgmncvqt', '0RNGXku0apjS2CHqTY8ewi', '6HOIAQdtvvOWuG9e2m1YHV', '2myVSM6FG26drtZi1fGSxp', '23yeb58esNWy9KaO7ee1jz', '25SWMXtEFh3v39sfqRKmpV', '03ZYIIogr3iZ48QeuUYR25', '42exrETjQiZgXTtjXV8kVw', '5M2mxbQDgIovmC1O2XXmqB', '6DvDjMKSSHLyJJYlis2gsS']"
Beyoncé,2,38652306,87,"['pop', 'r&b']",6vWDO969PvNqNYHIOW5v0m,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,"['https://i.scdn.co/image/ab6761610000e5eb247f44069c0bd1781df2f785', 'https://i.scdn.co/image/ab67616100005174247f44069c0bd1781df2f785', 'https://i.scdn.co/image/ab6761610000f178247f44069c0bd1781df2f785']","['7hUm6QRrTtAQz1xFGKYkDI', '2KIzoHbNTauTUZSwVTlktM']"
Anuel AA,0,37958752,88,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",2R21vXR83lH98kGeO99Y66,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,"['https://i.scdn.co/image/ab6761610000e5eba23ceb177745632b517cb7b2', 'https://i.scdn.co/image/ab67616100005174a23ceb177745632b517cb7b2', 'https://i.scdn.co/image/ab6761610000f178a23ceb177745632b517cb7b2']",[]
Ozuna,0,37425193,87,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",1i8SpTcr7yvPOmcqrbnVXY,https://open.spotify.com/artist/1i8SpTcr7yvPOmcqrbnVXY,"['https://i.scdn.co/image/ab6761610000e5ebc80f303b208a480f52e8180b', 'https://i.scdn.co/image/ab67616100005174c80f303b208a480f52e8180b', 'https://i.scdn.co/image/ab6761610000f178c80f303b208a480f52e8180b']",[]
One Direction,29,36508910,85,"['boy band', 'pop', 'post-teen pop', 'talent show']",4AK6F7OLvEQ5QYCBNiQWHq,https://open.spotify.com/artist/4AK6F7OLvEQ5QYCBNiQWHq,"['https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8', 'https://i.scdn.co/image/289c7f686f5b78ceeb224453cf9a15697a678a79', 'https://i.scdn.co/image/45741ba38b51130bb96e00c0e24d17ba311a9293', 'https://i.scdn.co/image/6c89c662ad0ab75bc2af9a3ae2b16f811daced50']","['03mub9xZ83a9VSp9NBGuL2', '1tYm8eGYCTGZC8YJ3yUEGt', '5sOUW4iglblzlRbBBb729Y', '1P80du0XuFXK36oOtTqpTB', '4EL4kOlLWh2pUnBclrQKR8', '4cBbG33CyWCtLxMWDFcAjl', '2yTQyHmqbt8PHc0l0yLQUO', '1xyug6JRIKwbv0RAi7QmkJ', '6XCcrbnrNtucBmApE17AXb', '6aovwMjumYfl3JX7V6lkVG', '2NTFbxPBrxx9itBFfCjgOq', '0OhlxEgNiH5sKlaQtwIg9Z', '45NquBrVpt9ozuOaYJUuu0', '7LV2X7RvOAUrsNwnK3HhEN', '0jYl7GzIvNHFxkes2BdXce', '6SuBsMD08yBsSIEte9dO3l', '2MJ8jIb921eIemSZTpajTG', '1c9cWKxM9bvQLhKonThVhV', '0P6HuX5zqRcFTfHDjSP6bF', '4qX3gM7gOlsP74BPnbPi8R', '2fHcmAQf8ovCOeBGfTo0mS', '20TQMJCr4KavW8S8Dqz9LB', '23DLfDfjg9HHtssODMXbPL', '1pLl338SyIemehp8vfLD09', '3rGXoxruiFmmH7ajS9HH0f', '7fH1JXrRmXcqR0orj03k5c', '6nwNjO3H3fIJaiDQmewfzP', '7E3KW8JGpvMAOJu9ooshWk', '4rQspkxm70CKC1p8xc432I']"
Sidhu Moose Wala,0,35654243,78,"['desi hip hop', 'pakistani hip hop', 'punjabi hip hop', 'punjabi pop']",4PULA4EFzYTrxYvOVlwpiQ,https://open.spotify.com/artist/4PULA4EFzYTrxYvOVlwpiQ,"['https://i.scdn.co/image/ab6761610000e5eb9973157bdaedef3f77ef8e13', 'https://i.scdn.co/image/ab676161000051749973157bdaedef3f77ef8e13', 'https://i.scdn.co/image/ab6761610000f1789973157bdaedef3f77ef8e13']",[]
