Artist,Song Title,Video ID,View Count,Thumbnail URL
THE FUGEES ,Killing Me Softly (OFFICIAL TRAP REMIX) - Kenyi,4ws93giy3vo,580519,https://i.ytimg.com/vi/4ws93giy3vo/default.jpg
DOMOKEN ft. wetyourappetite,Steps,lJEoSQs8P7M,1626369,https://i.ytimg.com/vi/lJEoSQs8P7M/default.jpg
Michela ,Chameleon,tdyQ-ebzFgk,15052662,https://i.ytimg.com/vi/tdyQ-ebzFgk/default.jpg
Larry Owens,Interlude,Urc9lKFe-m8,780024,https://i.ytimg.com/vi/Urc9lKFe-m8/default.jpg
Bob Ross ,Theme Song (Slowed Down),lW7Ytzdz8zs,114500,https://i.ytimg.com/vi/lW7Ytzdz8zs/default.jpg
BØRNS,Electric Love,zy63_gWxin8,21290,https://i.ytimg.com/vi/zy63_gWxin8/default.jpg
BLACKPINK ,HOW YOU LIKE THAT (Revamped),xP1QLjAUcn0,2642087,https://i.ytimg.com/vi/xP1QLjAUcn0/default.jpg
Kendrick Lamar,Money Trees (TikTok Remix),H2t93QkEfpw,5550625,https://i.ytimg.com/vi/H2t93QkEfpw/default.jpg
Queen ft. Cardi B,Bohemian WAPsody,KGlYQ5SoeKE,4299591,https://i.ytimg.com/vi/KGlYQ5SoeKE/default.jpg
Maon Kurosaki,DEAD OR LIE (feat. TRUSTRICK),zREIrp-gUIg,171409,https://i.ytimg.com/vi/zREIrp-gUIg/default.jpg
"Cardi B ft. Nicki Minaj, Ariana Grande, Megan Thee Stallion, & Doja Cat",WAP (Remix),8iS_OTqnDE0,12097813,https://i.ytimg.com/vi/8iS_OTqnDE0/default.jpg
Jungkook (BTS),Still With You,djKdPZiJdvA,154554373,https://i.ytimg.com/vi/djKdPZiJdvA/default.jpg
LMFAO ,Party Rock Anthem,gyjz3lekieQ,526787,https://i.ytimg.com/vi/gyjz3lekieQ/default.jpg
Unknown,Yoshi Island Ending Theme (Pt. 2 Looped),b4jSqElEwiU,146641,https://i.ytimg.com/vi/b4jSqElEwiU/default.jpg
Unknown T (feat. Dom),Homerton B (American Boy Remix),gXJvHLB4Ll4,352102,https://i.ytimg.com/vi/gXJvHLB4Ll4/default.jpg
BTS (방탄소년단),Black Swan (Orchestral Version),idwvEw1LkKc,11074239,https://i.ytimg.com/vi/idwvEw1LkKc/default.jpg
MACINTOSH PLUS,リサフランク420 / 現代のコンピュー,aQkPcPqTq4M,20976993,https://i.ytimg.com/vi/aQkPcPqTq4M/default.jpg
BTS (feat. Casin),Just One Day x Casin (You Reposted on the Wrong Day),O2xDwhdou24,508392,https://i.ytimg.com/vi/O2xDwhdou24/default.jpg
BTS (featuring SHINHWA),Perfect Man (Original by SHINHWA),AMMx1hOwH-4,129450711,https://i.ytimg.com/vi/AMMx1hOwH-4/default.jpg
Shanks & Bigfoot,Sweet Like Chocolate,OQCQnARnKbc,3711039,https://i.ytimg.com/vi/OQCQnARnKbc/default.jpg
Labrinth feat. Sia & Diplo,Still Don't Know My Name x Feel Something,dh4HHQc06eo,7639720,https://i.ytimg.com/vi/dh4HHQc06eo/default.jpg
Sophia Tavares ,"""Seven Nation Army""",KM_WjzkdzGE,2939567,https://i.ytimg.com/vi/KM_WjzkdzGE/default.jpg
Boosie Badazz,Letter 2 My Enemies [Boonk Gang],DT0gWkZrIYU,126678,https://i.ytimg.com/vi/DT0gWkZrIYU/default.jpg
Post Malone ft. 21 Savage ,Rockstar (Crankdat Remix),gI3Zn9-tuq8,158112237,https://i.ytimg.com/vi/gI3Zn9-tuq8/default.jpg
alt-J ,Breezeblocks (Cry Wolf Remix),3QZPoHdr3x4,2335334,https://i.ytimg.com/vi/3QZPoHdr3x4/default.jpg
Nicki Minaj vs. Britney Spears ,Toxic Anaconda (Mashup),_z8qD2j2pIg,774420,https://i.ytimg.com/vi/_z8qD2j2pIg/default.jpg
Ariana Grande,7 Rings,sRKe1nEud_o,7080196,https://i.ytimg.com/vi/sRKe1nEud_o/default.jpg
Dua Lipa x Madonna,Don't Start Now x Hung Up,-m6qtuzVXIY,10008881,https://i.ytimg.com/vi/-m6qtuzVXIY/default.jpg
Ariana Grande ,Step On Up (Blackout Version),Q7Y5dS7cSiI,34170517,https://i.ytimg.com/vi/Q7Y5dS7cSiI/default.jpg
Magdalena Bay,Oblivion Forever Mashup,DaEepQ1F9MU,902043,https://i.ytimg.com/vi/DaEepQ1F9MU/default.jpg
Mike Posner ,Cooler Than Me,FtrZiOGl_vM,46872,https://i.ytimg.com/vi/FtrZiOGl_vM/default.jpg
Mariah Carey Soulja Boy,All I Want For Christmas Is You X Crank That Soulja Boy,dhqyMblMjGg,6634129,https://i.ytimg.com/vi/dhqyMblMjGg/default.jpg
Alt-J,"N/A (since the video is a tutorial on how to write a song in the style of Alt-J, rather than an actual Alt-J song)",rlBskd3IaNw,13372795,https://i.ytimg.com/vi/rlBskd3IaNw/default.jpg
Harry Styles x The Neighbourhood ,Watermelon Sugar x Daddy Issues (mashup),VZnXK7VwQWQ,1231108,https://i.ytimg.com/vi/VZnXK7VwQWQ/default.jpg
Joji,WORLD$TAR MONEY,RVlG1gkk45Y,1133905,https://i.ytimg.com/vi/RVlG1gkk45Y/default.jpg
Arctic Monkeys (feat. Drake),"Hold On, We're Going Home",RvA3q0ZU-NQ,40690012,https://i.ytimg.com/vi/RvA3q0ZU-NQ/default.jpg
Bill Withers (feat. Grover Washington Jr.),Just The Two Of Us,fnHDmEPs9z4,5877980,https://i.ytimg.com/vi/fnHDmEPs9z4/default.jpg
Chase Atlantic,NOW!,RU2QeNid6QE,696047,https://i.ytimg.com/vi/RU2QeNid6QE/default.jpg
Chase Atlantic,Know Me,sDUXKxIIof4,1322436,https://i.ytimg.com/vi/sDUXKxIIof4/default.jpg
Chase Atlantic,August,c1vTxJouUyE,882935,https://i.ytimg.com/vi/c1vTxJouUyE/default.jpg
Chase Atlantic,Now,B0MBnDalSfY,10761540,https://i.ytimg.com/vi/B0MBnDalSfY/default.jpg
Chase Atlantic,Where Are Ü Now? (cover),iMba9TJJ6c4,84004,https://i.ytimg.com/vi/iMba9TJJ6c4/default.jpg
Travis Scott feat. Chase Atlantic,Goosebumps (Remix),DsWQ38n0VeA,14317425,https://i.ytimg.com/vi/DsWQ38n0VeA/default.jpg
Jules & Chase Atlantic,Adore You,BsybPCuNnsQ,364564,https://i.ytimg.com/vi/BsybPCuNnsQ/default.jpg
Chase Atlantic,Know Me,P7ixCAcBDi0,239516,https://i.ytimg.com/vi/P7ixCAcBDi0/default.jpg
J. Cole,02 Simba,XvAaB8YkL5k,183335,https://i.ytimg.com/vi/XvAaB8YkL5k/default.jpg
J. Cole,05 Dollar and a Dream,_cUYc3ncakM,127541,https://i.ytimg.com/vi/_cUYc3ncakM/default.jpg
J. Cole,13 Dead Presidents,U8t1-7Ha9Mw,81158,https://i.ytimg.com/vi/U8t1-7Ha9Mw/default.jpg
J. Cole,17 Can't Cry,ecX5mrzUZnQ,63690,https://i.ytimg.com/vi/ecX5mrzUZnQ/default.jpg
J. Cole,Welcome [The Warm Up],T3Epca0poD0,138298,https://i.ytimg.com/vi/T3Epca0poD0/default.jpg
J. Cole  ,Can I Live,vafsmXCOCeE,152345,https://i.ytimg.com/vi/vafsmXCOCeE/default.jpg
J. Cole ,Grown Simba,ltTF3W2aNrQ,157094,https://i.ytimg.com/vi/ltTF3W2aNrQ/default.jpg
J. Cole,Just To Get By,bovXv4jW0vs,173767,https://i.ytimg.com/vi/bovXv4jW0vs/default.jpg
J. Cole,Lights Please,Y0SWtZaFHtY,99665,https://i.ytimg.com/vi/Y0SWtZaFHtY/default.jpg
J. Cole ,Dead Presidents II [The Warm Up],Mafj28wNvsA,117777,https://i.ytimg.com/vi/Mafj28wNvsA/default.jpg
J. Cole,I Get Up,soF9yl3QhiI,113816,https://i.ytimg.com/vi/soF9yl3QhiI/default.jpg
J. Cole (Ft. Brandon Hines),Dreams,FUR9UqAKqxs,100037,https://i.ytimg.com/vi/FUR9UqAKqxs/default.jpg
J. Cole,Dollar And A Dream II,ME9uB5kJH5Y,75202,https://i.ytimg.com/vi/ME9uB5kJH5Y/default.jpg
J. Cole ,Get Away,ZqMhj2fIwL0,63694,https://i.ytimg.com/vi/ZqMhj2fIwL0/default.jpg
J. Cole,Knock Knock,4Q11pLWdnPE,56170,https://i.ytimg.com/vi/4Q11pLWdnPE/default.jpg
J. Cole ,Losing My Balance,_TVSd0pvQBY,52621,https://i.ytimg.com/vi/_TVSd0pvQBY/default.jpg
J. Cole ,Too Deep For The Intro,n4WhV-2k9h4,1176940,https://i.ytimg.com/vi/n4WhV-2k9h4/default.jpg
J. Cole,Before Im Gone,SiInGsoOu88,1108904,https://i.ytimg.com/vi/SiInGsoOu88/default.jpg
J. Cole,Back To The Topic (Freestyle),JzZ9ccXm8Mk,1147107,https://i.ytimg.com/vi/JzZ9ccXm8Mk/default.jpg
J. Cole,Higher,CjLwiNf7AVE,585017,https://i.ytimg.com/vi/CjLwiNf7AVE/default.jpg
J. Cole,Cost Me A Lot,ra06U_Dio9s,879167,https://i.ytimg.com/vi/ra06U_Dio9s/default.jpg
J. Cole,Premeditated Murder,qupSF_0MPUo,639131,https://i.ytimg.com/vi/qupSF_0MPUo/default.jpg
J. Cole,Home For The Holidays,-q2koEWp58M,740020,https://i.ytimg.com/vi/-q2koEWp58M/default.jpg
J. Cole,Love Me Not,ySM_bgNj9f4,543307,https://i.ytimg.com/vi/ySM_bgNj9f4/default.jpg
J. Cole ,Farewell,fMVE4kygjbo,408779,https://i.ytimg.com/vi/fMVE4kygjbo/default.jpg
J. Cole ft. Ron Gilmore ,Can I Holla at Ya,XIUhG5YN2HU,4108619,https://i.ytimg.com/vi/XIUhG5YN2HU/default.jpg
J. Cole featuring 50 Cent and Bas,New York Times,foY1kDO1oTE,1974303,https://i.ytimg.com/vi/foY1kDO1oTE/default.jpg
Rihanna ft. Mikky Ekko,Stay,5FCcBex24fw,2241376,https://i.ytimg.com/vi/5FCcBex24fw/default.jpg
J. Cole,Return of Simba,0mRqrR-L-g0,1840738,https://i.ytimg.com/vi/0mRqrR-L-g0/default.jpg
Kendrick Lamar & J Cole,Black Friday,okF5gOTX9uM,77378222,https://i.ytimg.com/vi/okF5gOTX9uM/default.jpg
J.Cole ,Like A Star,Wps6A8I3j7o,2551708,https://i.ytimg.com/vi/Wps6A8I3j7o/default.jpg
