Artist,Song Title,Video ID,View Count,Thumbnail URL
Breatheless By Taylor Swift (lyrics),ewF1E65o9ho,9023,https://i.ytimg.com/vi/ewF1E65o9ho/default.jpg
Boyz II Men - Boo'ed Up [6],ek-dTJ73q4E,26175,https://i.ytimg.com/vi/ek-dTJ73q4E/default.jpg
Truth Hurts ft. Dr. Dre - We Can Go There (2002 Unreleased) May 2012 HQ,SEJU9cABE9k,19660,https://i.ytimg.com/vi/SEJU9cABE9k/default.jpg
Fall Out Boy- Save Your Generation lyrics,vbQ36s5sLLs,295472,https://i.ytimg.com/vi/vbQ36s5sLLs/default.jpg
Fall Out Boy: Love Will Tear Us Apart (Joy Division) (Audio),kzCJkm711rk,570156,https://i.ytimg.com/vi/kzCJkm711rk/default.jpg
Fall Out Boy New Song!! Turnpike Gates (Acoustic Cover) (Lifetime),BPLC1X4VITw,37876,https://i.ytimg.com/vi/BPLC1X4VITw/default.jpg
Fall Out Boy - Beat It (MTV Version) (Official Music Video) ft. John Mayer,sk8Pb17pcQI,48745253,https://i.ytimg.com/vi/sk8Pb17pcQI/default.jpg
Moving Pictures by Fall Out Boy,avWIdTRYsK0,68827,https://i.ytimg.com/vi/avWIdTRYsK0/default.jpg
Fall out boy - Unreleased,whwbkacjPIU,28297,https://i.ytimg.com/vi/whwbkacjPIU/default.jpg
Can't Let Go - ADELE (Version Album),8Cwd9EbPUUg,1288892,https://i.ytimg.com/vi/8Cwd9EbPUUg/default.jpg
Taylor Swift - My Turn To Be Me,rlY_OOuIc8o,20409,https://i.ytimg.com/vi/rlY_OOuIc8o/default.jpg
Marina and the Diamonds-Hermit the Frog,YU9uRHA_264,75115,https://i.ytimg.com/vi/YU9uRHA_264/default.jpg
Marina and The Diamonds - Daddy Was a Sailor (Audio),2nKuRRmBxTA,50425,https://i.ytimg.com/vi/2nKuRRmBxTA/default.jpg
Marina and the Diamonds - Simplify,mfgHphhuep4,13946,https://i.ytimg.com/vi/mfgHphhuep4/default.jpg
Marina and the Diamonds-Simplify,NMIFSfBUXFA,546354,https://i.ytimg.com/vi/NMIFSfBUXFA/default.jpg
Marina & The Diamonds - Starlight (Extended Edition),3Lx_Sr19BJs,222741,https://i.ytimg.com/vi/3Lx_Sr19BJs/default.jpg
Marina & The Diamonds - Mowgli's Road (Demo),rtuULv8-S7I,46700,https://i.ytimg.com/vi/rtuULv8-S7I/default.jpg
